Song,Album,Year,Track Number,Song Length,Word Count,Genre,Single,Label
Cornelia Street,Lover,2019,9,287,383,Pop,No,Republic
Death by a Thousand Cuts,Lover,2019,10,199,394,Pop,No,Republic
London Boy,Lover,2019,11,190,433,Pop,No,Republic
Soon You'll Get Better,Lover,2019,12,202,233,Pop,No,Republic
False God,Lover,2019,13,200,321,Pop,No,Republic
You Need to Calm Down,Lover,2019,14,171,343,Pop,Yes,Republic
Afterglow,Lover,2019,15,223,379,Pop,No,Republic
Me!,Lover,2019,16,193,471,Pop,Yes,Republic
It's Nice to Have a Friend,Lover,2019,17,150,153,Pop,No,Republic
Daylight,Lover,2019,18,293,454,Pop,No,Republic
The 1,Folklore,2020,1,210,307,Indie folk,Yes,Republic
Cardigan,Folklore,2020,2,239,336,Indie folk,Yes,Republic
The Last Great American Dynasty,Folklore,2020,3,231,329,Indie folk,No,Republic
Exile,Folklore,2020,4,285,449,Indie folk,Yes,Republic
My Tears Ricochet,Folklore,2020,5,255,310,Indie folk,No,Republic
Mirrorball,Folklore,2020,6,209,256,Indie folk,No,Republic
Seven,Folklore,2020,7,208,218,Indie folk,No,Republic
August,Folklore,2020,8,261,354,Indie folk,No,Republic
This Is Me Trying,Folklore,2020,9,195,260,Indie folk,No,Republic
Illicit Affairs,Folklore,2020,10,190,239,Indie folk,No,Republic
Invisible String,Folklore,2020,11,252,298,Indie folk,No,Republic
Mad Woman,Folklore,2020,12,237,314,Indie folk,No,Republic
Epiphany,Folklore,2020,13,289,174,Indie folk,No,Republic
Betty,Folklore,2020,14,294,457,Indie folk,Yes,Republic
Peace,Folklore,2020,15,234,287,Indie folk,No,Republic
Hoax,Folklore,2020,16,220,239,Indie folk,No,Republic
Willow,Evermore,2020,1,214,412,Folk Pop,Yes,Republic
Champagne Problems,Evermore,2020,2,244,286,Folk Pop,No,Republic
Gold Rush,Evermore,2020,3,185,342,Folk Pop,No,Republic
Tis the Damn Season,Evermore,2020,4,229,410,Folk Pop,No,Republic
Tolerate It,Evermore,2020,5,245,314,Folk Pop,No,Republic
"No Body, No Crime",Evermore,2020,6,215,376,Folk Pop,Yes,Republic
Happiness,Evermore,2020,7,315,431,Folk Pop,No,Republic
Dorothea,Evermore,2020,8,225,242,Folk Pop,No,Republic
Coney Island,Evermore,2020,9,275,392,Folk Pop,Yes,Republic
Ivy,Evermore,2020,10,260,368,Folk Pop,No,Republic
Cowboy like Me,Evermore,2020,11,275,345,Folk Pop,No,Republic
Long Story Short,Evermore,2020,12,215,406,Folk Pop,No,Republic
Marjorie,Evermore,2020,13,257,320,Folk Pop,No,Republic
Closure,Evermore,2020,14,180,230,Folk Pop,No,Republic
Evermore,Evermore,2020,15,304,331,Folk Pop,No,Republic
Lavender Haze,Midnights,2022,1,202,337,Dream Pop,No,Republic
Maroon,Midnights,2022,2,218,350,Dream Pop,No,Republic
Anti-Hero,Midnights,2022,3,201,332,Dream Pop,Yes,Republic
Snow on the Beach,Midnights,2022,4,256,370,Dream Pop,No,Republic
"You're on Your Own, Kid",Midnights,2022,5,374,297,Dream Pop,No,Republic
Midnight Rain,Midnights,2022,6,175,279,Dream Pop,No,Republic
Question...?,Midnights,2022,7,211,405,Dream Pop,Yes,Republic
Vigilante Shit,Midnights,2022,8,165,261,Dream Pop,No,Republic
Bejeweled,Midnights,2022,9,194,428,Dream Pop,Yes,Republic
Labyrinth,Midnights,2022,10,248,254,Dream Pop,No,Republic
Karma,Midnights,2022,11,205,379,Dream Pop,No,Republic
Sweet Nothing,Midnights,2022,12,188,247,Dream Pop,No,Republic
Mastermind,Midnights,2022,13,191,336,Dream Pop,No,Republic
